Unnamed: 0,index,name,price,year,brand,km_drive
2587,2587, TOYOTA CAMRY 2.0 G,659000.0,2017,TOYOTA,173362
2588,2588, TOYOTA FORTUNER 2.8 V 4WD,1069000.0,2017,TOYOTA,86143
2589,2589, NISSAN TEANA 250 XV,599000.0,2017,NISSAN,224834
2590,2590, HONDA ACCORD 2.0 E,679000.0,2017,HONDA,217002
2591,2591, MINI COOPER 2.0 SD ALL4 Countryman 4WD,797000.0,2014,MINI,150000
2592,2592, LAND ROVER RANGE ROVER 2.2 Evoque SD4 4WD,1397000.0,2013,LAND,100000
2593,2593, TOYOTA VIOS 1.5 E,299000.0,2014,TOYOTA,299000
2594,2594, ISUZU D-MAX 1.9 S,645000.0,2021,ISUZU,12969
2595,2595, TOYOTA FORTUNER G,855000.0,2018,TOYOTA,51844
2596,2596, MERCEDES BENZ C350 E,1329000.0,2017,MERCEDES,80000
2597,2597, TOYOTA ALPHARD 2.5 S C-Package,3290000.0,2021,TOYOTA,30000
2598,2598, LAMBORGHINI HURACAN,22900000.0,2021,LAMBORGHINI,6000
2599,2599, BMW 730LD,2890000.0,2018,BMW,38000
2600,2600, MITSUOKA HIMIKO 2.0,2299000.0,2011,MITSUOKA,1296
2601,2601, MERCEDES BENZ C250 AMG Dynamic,1850000.0,2017,MERCEDES,70000
2602,2602, MITSUBISHI PAJERO SPORT 3.2 GT 4WD,368000.0,2009,MITSUBISHI,0
2603,2603, MINI COOPER 2.0 S Clubman,1699000.0,2018,MINI,51000
2604,2604, BMW Z4 M,3399000.0,2020,BMW,17000
2605,2605, HONDA CIVIC 1.8 S i-VTEC,255000.0,2009,HONDA,132204
2606,2606, NISSAN SYLPHY 1.6 SV,365000.0,2017,NISSAN,77784
2607,2607, MAZDA 2 1.5 Elegance Groove,205000.0,2012,MAZDA,124408
2608,2608, HONDA FREED 1.5 SE,435000.0,2013,HONDA,151332
2609,2609, HONDA MOBILIO 1.5 RS,485000.0,2017,HONDA,64244
